sample,pop,super_pop,gender,gender_numeric,pop_numeric,super_pop_numeric
HG02181,CDX,EAS,female,2,2,3
HG02182,CDX,EAS,female,2,2,3
HG02184,CDX,EAS,female,2,2,3
HG02185,CDX,EAS,female,2,2,3
HG02186,CDX,EAS,female,2,2,3
HG02187,CDX,EAS,female,2,2,3
HG02188,CDX,EAS,female,2,2,3
HG02190,CDX,EAS,female,2,2,3
HG02215,GBR,EUR,female,2,6,4
HG02219,IBS,EUR,male,1,8,4
HG02220,IBS,EUR,female,2,8,4
HG02221,IBS,EUR,male,1,8,4
HG02223,IBS,EUR,female,2,8,4
HG02224,IBS,EUR,male,1,8,4
HG02230,IBS,EUR,female,2,8,4
HG02231,IBS,EUR,male,1,8,4
HG02232,IBS,EUR,female,2,8,4
HG02233,IBS,EUR,male,1,8,4
HG02235,IBS,EUR,female,2,8,4
HG02236,IBS,EUR,male,1,8,4
HG02238,IBS,EUR,male,1,8,4
HG02239,IBS,EUR,female,2,8,4
HG02250,CDX,EAS,male,1,2,3
HG02252,PEL,AMR,female,2,10,2
HG02253,PEL,AMR,male,1,10,2
HG02255,ACB,AFR,male,1,1,1
HG02256,ACB,AFR,female,2,1,1
HG02259,PEL,AMR,male,1,10,2
HG02260,PEL,AMR,female,2,10,2
HG02262,PEL,AMR,male,1,10,2
HG02265,PEL,AMR,male,1,10,2
HG02266,PEL,AMR,female,2,10,2
HG02271,PEL,AMR,male,1,10,2
HG02272,PEL,AMR,female,2,10,2
HG02274,PEL,AMR,male,1,10,2
HG02275,PEL,AMR,female,2,10,2
HG02277,PEL,AMR,male,1,10,2
HG02278,PEL,AMR,female,2,10,2
HG02281,ACB,AFR,male,1,1,1
HG02282,ACB,AFR,female,2,1,1
HG02283,ACB,AFR,male,1,1,1
HG02284,ACB,AFR,male,1,1,1
HG02285,PEL,AMR,male,1,10,2
HG02286,PEL,AMR,female,2,10,2
HG02291,PEL,AMR,male,1,10,2
HG02292,PEL,AMR,female,2,10,2
HG02298,PEL,AMR,female,2,10,2
HG02299,PEL,AMR,male,1,10,2
HG02301,PEL,AMR,female,2,10,2
HG02304,PEL,AMR,male,1,10,2
HG02307,ACB,AFR,male,1,1,1
HG02308,ACB,AFR,female,2,1,1
HG02309,ACB,AFR,female,2,1,1
HG02312,PEL,AMR,female,2,10,2
HG02314,ACB,AFR,male,1,1,1
HG02315,ACB,AFR,female,2,1,1
HG02317,ACB,AFR,male,1,1,1
HG02318,ACB,AFR,female,2,1,1
HG02322,ACB,AFR,female,2,1,1
HG02323,ACB,AFR,male,1,1,1
HG02325,ACB,AFR,female,2,1,1
HG02330,ACB,AFR,male,1,1,1
HG02332,ACB,AFR,male,1,1,1
HG02334,ACB,AFR,male,1,1,1
HG02337,ACB,AFR,female,2,1,1
HG02339,ACB,AFR,female,2,1,1
HG02343,ACB,AFR,male,1,1,1
HG02345,PEL,AMR,female,2,10,2
HG02348,PEL,AMR,female,2,10,2
HG02351,CDX,EAS,male,1,2,3
HG02353,CDX,EAS,male,1,2,3
HG02355,CDX,EAS,male,1,2,3
HG02356,CDX,EAS,male,1,2,3
HG02360,CDX,EAS,male,1,2,3
HG02364,CDX,EAS,male,1,2,3
HG02367,CDX,EAS,male,1,2,3
HG02371,CDX,EAS,male,1,2,3
HG02373,CDX,EAS,male,1,2,3
HG02374,CDX,EAS,male,1,2,3
HG02375,CDX,EAS,male,1,2,3
HG02379,CDX,EAS,male,1,2,3
HG02380,CDX,EAS,male,1,2,3
HG02382,CDX,EAS,male,1,2,3
HG02383,CDX,EAS,male,1,2,3
HG02384,CDX,EAS,male,1,2,3
HG02385,CDX,EAS,male,1,2,3
HG02386,CDX,EAS,male,1,2,3
HG02389,CDX,EAS,male,1,2,3
HG02390,CDX,EAS,male,1,2,3
HG02391,CDX,EAS,male,1,2,3
HG02392,CDX,EAS,male,1,2,3
HG02394,CDX,EAS,male,1,2,3
HG02395,CDX,EAS,male,1,2,3
HG02396,CDX,EAS,male,1,2,3
HG02397,CDX,EAS,male,1,2,3
HG02398,CDX,EAS,male,1,2,3
HG02399,CDX,EAS,male,1,2,3
HG02401,CDX,EAS,male,1,2,3
HG02402,CDX,EAS,male,1,2,3
HG02406,CDX,EAS,male,1,2,3
HG02407,CDX,EAS,male,1,2,3
HG02408,CDX,EAS,male,1,2,3
HG02409,CDX,EAS,male,1,2,3
HG02410,CDX,EAS,male,1,2,3
HG02419,ACB,AFR,female,2,1,1
HG02420,ACB,AFR,male,1,1,1
HG02425,PEL,AMR,female,2,10,2
HG02427,ACB,AFR,female,2,1,1
HG02429,ACB,AFR,male,1,1,1
HG02433,ACB,AFR,male,1,1,1
HG02439,ACB,AFR,male,1,1,1
HG02442,ACB,AFR,male,1,1,1
HG02445,ACB,AFR,male,1,1,1
HG02449,ACB,AFR,male,1,1,1
HG02450,ACB,AFR,female,2,1,1
HG02455,ACB,AFR,male,1,1,1
HG02461,GWD,AFR,male,1,7,1
HG02462,GWD,AFR,female,2,7,1
HG02464,GWD,AFR,male,1,7,1
HG02465,GWD,AFR,female,2,7,1
HG02470,ACB,AFR,male,1,1,1
HG02471,ACB,AFR,female,2,1,1
HG02476,ACB,AFR,female,2,1,1
HG02477,ACB,AFR,female,2,1,1
HG02479,ACB,AFR,female,2,1,1
HG02481,ACB,AFR,male,1,1,1
HG02484,ACB,AFR,male,1,1,1
HG02485,ACB,AFR,female,2,1,1
HG02489,ACB,AFR,male,1,1,1
HG02490,PJL,SAS,male,1,11,5
HG02491,PJL,SAS,female,2,11,5
